100, 0.0584073, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
300, 0.0050740, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
700, 0.0755502, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
1500, 0.0424073, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
3100, 0.0261493, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
6300, 0.0171375, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
12700, 0.0149428, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
25500, 0.0088387, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
51100, 0.0105796, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
102300, 0.0016513, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
204700, 0.0033023, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
409500, 0.0005807, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
819100, 0.0008075, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
1638300, 0.0003130, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
3276700, 0.0003518, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
6553500, 0.0006329, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
13107100, 0.0001540, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
26214300, 0.0000441, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
52428700, 0.0001034, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
100000000, 0.0000513, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
480000000, 0.0000810, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
1000000000, 0.0000263, 0.0500000, 0.0050000, 0.0005000, 0.0000500, 0.0000050, 0.0000005
